accession_no,title,author,subject,total_copies,available_copies,rack_location
B1001,Introduction to Algorithms,Thomas H. Cormen,Computer Science,5,5,R1-A
B1002,Operating System Concepts,Abraham Silberschatz,Operating Systems,4,4,R1-B
B1003,Database System Concepts,Henry F. Korth,Databases,6,6,R1-C
B1004,Computer Networks,Andrew S. Tanenbaum,Networking,5,5,R2-A
B1005,Artificial Intelligence: A Modern Approach,Stuart Russell,Artificial Intelligence,3,3,R2-B
B1006,Machine Learning,Tom M. Mitchell,Machine Learning,4,4,R2-C
B1007,Deep Learning,Ian Goodfellow,Deep Learning,3,3,R3-A
B1008,Pattern Recognition and Machine Learning,Christopher M. Bishop,Machine Learning,2,2,R3-B
B1009,Data Structures and Algorithms Made Easy,Narasimha Karumanchi,DSA,6,6,R3-C
B1010,Python Crash Course,Eric Matthes,Programming,7,7,R4-A
B1011,Clean Code,Robert C. Martin,Software Engineering,5,5,R4-B
B1012,The Pragmatic Programmer,Andrew Hunt,Software Engineering,4,4,R4-C
B1013,Computer Organization and Design,David A. Patterson,Computer Architecture,3,3,R5-A
B1014,Digital Logic and Computer Design,M. Morris Mano,Digital Electronics,4,4,R5-B
B1015,Signals and Systems,Alan V. Oppenheim,Electronics,3,3,R5-C
B1016,Control Systems Engineering,Norman S. Nise,Control Systems,5,5,R6-A
B1017,Robotics: Modelling Planning and Control,Bruno Siciliano,Robotics,2,2,R6-B
B1018,Introduction to Autonomous Robots,Nikolaus Correll,Robotics,3,3,R6-C
B1019,Cloud Computing Concepts,Rajkumar Buyya,Cloud Computing,4,4,R7-A
B1020,Big Data Analytics,Viktor Mayer-Schönberger,Big Data,3,3,R7-B
